CATEGORIES,Price_Type,Value_Type,MonthNum,Year,Month_Name,Date,Sales_R_Millions
General dealers,At constant prices,Actual values,5,2019,May,2019-05-01,41592
General dealers,At constant prices,Actual values,6,2019,June,2019-06-01,40396
General dealers,At constant prices,Actual values,7,2019,July,2019-07-01,36920
General dealers,At constant prices,Actual values,8,2019,August,2019-08-01,41477
General dealers,At constant prices,Actual values,9,2019,September,2019-09-01,41005
General dealers,At constant prices,Actual values,10,2019,October,2019-10-01,37999
General dealers,At constant prices,Actual values,11,2019,November,2019-11-01,47509
General dealers,At constant prices,Actual values,12,2019,December,2019-12-01,53860
General dealers,At constant prices,Actual values,1,2020,January,2020-01-01,37054
General dealers,At constant prices,Actual values,2,2020,February,2020-02-01,40545
General dealers,At constant prices,Actual values,3,2020,March,2020-03-01,46380
General dealers,At constant prices,Actual values,4,2020,April,2020-04-01,32387
General dealers,At constant prices,Actual values,5,2020,May,2020-05-01,40294
General dealers,At constant prices,Actual values,6,2020,June,2020-06-01,40628
General dealers,At constant prices,Actual values,7,2020,July,2020-07-01,36367
General dealers,At constant prices,Actual values,8,2020,August,2020-08-01,41231
General dealers,At constant prices,Actual values,9,2020,September,2020-09-01,42051
General dealers,At constant prices,Actual values,10,2020,October,2020-10-01,39123
General dealers,At constant prices,Actual values,11,2020,November,2020-11-01,46173
General dealers,At constant prices,Actual values,12,2020,December,2020-12-01,55166
General dealers,At constant prices,Actual values,1,2021,January,2021-01-01,35077
General dealers,At constant prices,Actual values,2,2021,February,2021-02-01,42509
General dealers,At constant prices,Actual values,3,2021,March,2021-03-01,42420
General dealers,At constant prices,Actual values,4,2021,April,2021-04-01,37189
General dealers,At constant prices,Actual values,5,2021,May,2021-05-01,41398
General dealers,At constant prices,Actual values,6,2021,June,2021-06-01,45309
General dealers,At constant prices,Actual values,7,2021,July,2021-07-01,35717
General dealers,At constant prices,Actual values,8,2021,August,2021-08-01,39995
General dealers,At constant prices,Actual values,9,2021,September,2021-09-01,42206
General dealers,At constant prices,Actual values,10,2021,October,2021-10-01,39505
General dealers,At constant prices,Actual values,11,2021,November,2021-11-01,47250
General dealers,At constant prices,Actual values,12,2021,December,2021-12-01,54801
General dealers,At constant prices,Actual values,1,2022,January,2022-01-01,37633
General dealers,At constant prices,Actual values,2,2022,February,2022-02-01,41807
General dealers,At constant prices,Actual values,3,2022,March,2022-03-01,43332
General dealers,At constant prices,Actual values,4,2022,April,2022-04-01,39393
General dealers,At constant prices,Actual values,5,2022,May,2022-05-01,42994
General dealers,At constant prices,Actual values,6,2022,June,2022-06-01,42647
General dealers,At constant prices,Actual values,7,2022,July,2022-07-01,38725
General dealers,At constant prices,Actual values,8,2022,August,2022-08-01,42179
General dealers,At constant prices,Actual values,9,2022,September,2022-09-01,42782
General dealers,At constant prices,Actual values,10,2022,October,2022-10-01,39447
General dealers,At constant prices,Actual values,11,2022,November,2022-11-01,46830
General dealers,At constant prices,Actual values,12,2022,December,2022-12-01,53717
General dealers,At constant prices,Actual values,1,2023,January,2023-01-01,37255
General dealers,At constant prices,Actual values,2,2023,February,2023-02-01,40632
General dealers,At constant prices,Actual values,3,2023,March,2023-03-01,42051
General dealers,At constant prices,Actual values,4,2023,April,2023-04-01,38044
General dealers,At constant prices,Actual values,5,2023,May,2023-05-01,40576
General dealers,At constant prices,Actual values,6,2023,June,2023-06-01,41109
General dealers,At constant prices,Actual values,7,2023,July,2023-07-01,37330
General dealers,At constant prices,Actual values,8,2023,August,2023-08-01,40763
General dealers,At constant prices,Actual values,9,2023,September,2023-09-01,42293
General dealers,At constant prices,Actual values,10,2023,October,2023-10-01,37502
General dealers,At constant prices,Actual values,11,2023,November,2023-11-01,46166
General dealers,At constant prices,Actual values,12,2023,December,2023-12-01,55239
General dealers,At constant prices,Actual values,1,2024,January,2024-01-01,37497
General dealers,At constant prices,Actual values,2,2024,February,2024-02-01,40925
General dealers,At constant prices,Actual values,3,2024,March,2024-03-01,44620
General dealers,At constant prices,Actual values,4,2024,April,2024-04-01,38526
General dealers,At constant prices,Actual values,5,2024,May,2024-05-01,41580
General dealers,At constant prices,Actual values,6,2024,June,2024-06-01,43454
General dealers,At constant prices,Actual values,7,2024,July,2024-07-01,38781
General dealers,At constant prices,Actual values,8,2024,August,2024-08-01,42573
General dealers,At constant prices,Actual values,9,2024,September,2024-09-01,44360
General dealers,At constant prices,Actual values,10,2024,October,2024-10-01,41772
General dealers,At constant prices,Actual values,11,2024,November,2024-11-01,51517
General dealers,At constant prices,Actual values,12,2024,December,2024-12-01,56423
General dealers,At constant prices,Actual values,1,2025,January,2025-01-01,40331
General dealers,At constant prices,Actual values,2,2025,February,2025-02-01,42401
General dealers,At constant prices,Actual values,3,2025,March,2025-03-01,44578
General dealers,At constant prices,Actual values,4,2025,April,2025-04-01,40554
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2008,January,2008-01-01,5827
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2008,February,2008-02-01,6099
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2008,March,2008-03-01,6759
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2008,April,2008-04-01,6394
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2008,May,2008-05-01,6550
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2008,June,2008-06-01,6161
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2008,July,2008-07-01,6274
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2008,August,2008-08-01,6606
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2008,September,2008-09-01,6674
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2008,October,2008-10-01,7303
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2008,November,2008-11-01,7204
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2008,December,2008-12-01,9850
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2009,January,2009-01-01,6374
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2009,February,2009-02-01,6047
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2009,March,2009-03-01,6306
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2009,April,2009-04-01,6645
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2009,May,2009-05-01,6615
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2009,June,2009-06-01,6331
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2009,July,2009-07-01,6469
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2009,August,2009-08-01,6598
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2009,September,2009-09-01,6455
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2009,October,2009-10-01,6832
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2009,November,2009-11-01,6843
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2009,December,2009-12-01,9704
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2010,January,2010-01-01,6339
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2010,February,2010-02-01,6111
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2010,March,2010-03-01,6911
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2010,April,2010-04-01,6659
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2010,May,2010-05-01,6789
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2010,June,2010-06-01,6489
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2010,July,2010-07-01,6654
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2010,August,2010-08-01,6355
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2010,September,2010-09-01,6533
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2010,October,2010-10-01,6774
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2010,November,2010-11-01,6741
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2010,December,2010-12-01,9928
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2011,January,2011-01-01,6089
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2011,February,2011-02-01,5965
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2011,March,2011-03-01,6370
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2011,April,2011-04-01,6898
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2011,May,2011-05-01,6101
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2011,June,2011-06-01,6195
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2011,July,2011-07-01,6593
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2011,August,2011-08-01,6416
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2011,September,2011-09-01,6428
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2011,October,2011-10-01,6999
